date,min,max,normal_min,normal_max,precipitation,precipitation_normal
19480906,105.0,61.0,97.7,74.9,0.00,2.87
19480907,104.0,60.0,97.4,74.5,0.00,2.88
19480908,103.0,64.0,97.1,74.2,0.00,2.89
19480909,106.0,62.0,96.7,73.8,0.00,2.9
19480910,106.0,61.0,96.4,73.5,0.00,2.91
19480911,107.0,62.0,96.0,73.1,0.00,2.92
19480912,108.0,66.0,95.7,72.7,0.00,2.93
19480913,109.0,62.0,95.3,72.3,0.00,2.94
19480914,106.0,62.0,94.9,71.9,0.00,2.95
19480915,103.0,68.0,94.5,71.5,0.00,2.96
19480916,90.0,72.0,94.1,71.1,T,2.97
19480917,92.0,70.0,93.7,70.7,T,2.97
19480918,92.0,64.0,93.3,70.3,T,2.98
19480919,90.0,56.0,92.8,69.9,T,2.99
19480920,94.0,57.0,92.4,69.4,T,3.0
19480921,96.0,54.0,92.0,69.0,T,3.0
19480922,92.0,61.0,91.5,68.6,T,3.01
19480923,93.0,56.0,91.1,68.1,T,3.02
19480924,84.0,63.0,90.6,67.7,T,3.03
19480925,72.0,50.0,90.1,67.2,T,3.03
19480926,81.0,45.0,89.7,66.8,T,3.04
19480927,90.0,43.0,89.2,66.3,T,3.04
19480928,94.0,52.0,88.8,65.9,T,3.05
19480929,95.0,52.0,88.3,65.5,T,3.05
19480930,94.0,63.0,87.8,65.0,T,3.06
19481001,95.0,58.0,87.4,64.6,T,3.07
19481002,97.0,56.0,86.9,64.1,T,3.07
19481003,96.0,59.0,86.4,63.7,T,3.08
19481004,90.0,66.0,86.0,63.3,T,3.08
19481005,90.0,56.0,85.5,62.9,T,3.09
19481006,83.0,61.0,85.1,62.4,T,3.1
19481007,88.0,49.0,84.6,62.0,T,3.1
19481008,93.0,52.0,84.1,61.6,T,3.11
19481009,94.0,50.0,83.7,61.2,T,3.12
19481010,92.0,48.0,83.2,60.8,T,3.13
19481011,88.0,49.0,82.8,60.4,T,3.13
19481012,87.0,51.0,82.3,60.0,T,3.14
19481013,89.0,60.0,81.9,59.6,T,3.15
19481014,82.0,56.0,81.5,59.2,T,3.16
19481015,83.0,52.0,81.0,58.8,T,3.16
19481016,86.0,49.0,80.6,58.4,T,3.17
19481017,83.0,58.0,80.1,58.0,T,3.18
19481018,75.0,48.0,79.7,57.6,0.01,3.19
19481019,78.0,41.0,79.3,57.3,0.01,3.2
19481020,85.0,46.0,78.8,56.9,0.01,3.21
19481021,89.0,43.0,78.4,56.5,0.01,3.22
19481022,88.0,44.0,77.9,56.1,0.01,3.23
19481023,86.0,47.0,77.5,55.8,0.01,3.24
19481024,86.0,45.0,77.1,55.4,0.01,3.25
19481025,86.0,45.0,76.6,55.0,0.01,3.26
19481026,82.0,47.0,76.2,54.6,0.01,3.27
19481027,80.0,42.0,75.7,54.2,0.01,3.28
19481028,69.0,44.0,75.3,53.9,0.01,3.3
19481029,70.0,38.0,74.8,53.5,0.01,3.31
19481030,60.0,47.0,74.3,53.1,0.01,3.32
19481031,75.0,39.0,73.9,52.7,0.01,3.33
19481101,75.0,40.0,73.4,52.3,0.01,3.34
19481102,77.0,48.0,72.9,51.9,0.01,3.35
19481103,78.0,49.0,72.5,51.5,0.01,3.36
19481104,64.0,46.0,72.0,51.1,0.01,3.37
19481105,66.0,32.0,71.5,50.7,0.01,3.39
19481106,71.0,30.0,71.0,50.3,0.01,3.4
19481107,70.0,38.0,70.5,49.9,0.01,3.41
19481108,58.0,39.0,70.0,49.5,0.01,3.42
19481109,64.0,27.0,69.5,49.1,0.01,3.43
19481110,64.0,27.0,69.0,48.7,0.01,3.44
19481111,65.0,40.0,68.5,48.3,0.01,3.46
19481112,67.0,33.0,68.0,47.8,0.01,3.47
19481113,74.0,32.0,67.5,47.4,0.01,3.48
19481114,75.0,33.0,67.0,47.0,0.01,3.49
19481115,71.0,33.0,66.5,46.6,0.01,3.5
19481116,68.0,32.0,66.0,46.2,0.01,3.52
19481117,68.0,34.0,65.5,45.8,0.01,3.53
19481118,57.0,37.0,65.0,45.4,0.01,3.54
19481119,61.0,28.0,64.5,45.0,0.01,3.55
19481120,62.0,25.0,64.0,44.6,0.01,3.56
19481121,61.0,39.0,63.5,44.2,0.01,3.57
19481122,63.0,36.0,63.0,43.8,0.01,3.58
19481123,68.0,32.0,62.5,43.4,0.01,3.6
19481124,64.0,31.0,62.1,43.1,0.01,3.61
19481125,66.0,36.0,61.6,42.7,0.01,3.62
19481126,61.0,26.0,61.2,42.4,0.01,3.64
19481127,54.0,31.0,60.8,42.0,0.01,3.65
19481128,57.0,22.0,60.4,41.7,0.01,3.66
19481129,65.0,21.0,60.0,41.4,0.01,3.68
19481130,63.0,22.0,59.6,41.1,0.01,3.69
19481201,59.0,32.0,59.2,40.8,0.01,3.7
19481202,59.0,24.0,58.9,40.5,0.01,3.71
19481203,66.0,23.0,58.5,40.3,0.01,3.73
19481204,50.0,24.0,58.2,40.0,0.01,3.74
19481205,51.0,18.0,57.9,39.8,0.01,3.75
19481206,59.0,25.0,57.7,39.6,0.01,3.77
19481207,54.0,21.0,57.4,39.4,0.01,3.78
19481208,61.0,24.0,57.2,39.2,0.01,3.79
19481209,63.0,25.0,56.9,39.0,0.01,3.8
19481210,65.0,29.0,56.7,38.8,0.01,3.82
19481211,63.0,29.0,56.6,38.7,0.01,3.83
19481212,56.0,30.0,56.4,38.6,0.01,3.85
19481213,70.0,40.0,56.2,38.5,0.01,3.86
19481214,58.0,39.0,56.1,38.4,0.01,3.88
19481215,,,56.0,38.3,0.01,3.89
19481216,,,55.9,38.2,0.01,3.91
19481217,,,55.9,38.1,0.01,3.93
19481218,,,55.8,38.1,0.01,3.94
19481219,54.0,25.0,55.8,38.1,0.01,3.96
19481220,54.0,24.0,55.8,38.0,0.01,3.98
19481221,48.0,26.0,55.7,38.0,0.01,3.99
19481222,46.0,34.0,55.8,38.0,0.04,4.01
19481223,44.0,25.0,55.8,38.0,0.05,4.03
19481224,44.0,18.0,55.8,38.0,0.05,4.05
19481225,44.0,17.0,55.9,38.1,0.05,4.07
19481226,56.0,34.0,55.9,38.1,0.05,4.09
19481227,50.0,33.0,56.0,38.1,0.30,4.11
19481228,53.0,31.0,56.0,38.2,0.30,4.13
19481229,50.0,26.0,56.1,38.2,0.30,4.15
19481230,51.0,32.0,56.2,38.3,0.30,4.17
19481231,49.0,30.0,56.3,38.3,0.30,4.19
19490101,48.0,25.0,56.4,38.4,0.00,0.02
19490102,40.0,26.0,56.5,38.4,0.10,0.04
19490103,33.0,22.0,56.6,38.5,0.10,0.06
19490104,35.0,19.0,56.7,38.5,0.10,0.08
19490105,42.0,16.0,56.8,38.6,0.10,0.1
19490106,50.0,20.0,56.9,38.7,0.10,0.12
19490107,50.0,22.0,57.0,38.7,0.10,0.14
19490108,49.0,21.0,57.2,38.8,0.10,0.16
19490109,44.0,26.0,57.3,38.9,0.11,0.17
19490110,35.0,20.0,57.4,38.9,0.44,0.19
19490111,36.0,24.0,57.5,39.0,0.73,0.21
19490112,39.0,30.0,57.6,39.1,1.38,0.23
19490113,42.0,30.0,57.7,39.1,1.78,0.25
19490114,42.0,24.0,57.8,39.2,1.78,0.26
19490115,40.0,20.0,57.9,39.3,1.78,0.28
19490116,38.0,29.0,58.0,39.3,1.78,0.3
19490117,36.0,20.0,58.1,39.4,1.78,0.32
19490118,40.0,20.0,58.2,39.5,1.78,0.33
19490119,35.0,25.0,58.3,39.5,1.84,0.35
19490120,40.0,32.0,58.4,39.6,1.97,0.36
19490121,46.0,32.0,58.5,39.7,1.99,0.38
19490122,52.0,36.0,58.6,39.8,2.02,0.39
19490123,43.0,28.0,58.7,39.9,2.02,0.4
19490124,41.0,26.0,58.8,40.0,2.02,0.42
19490125,35.0,26.0,58.9,40.1,2.41,0.43
19490126,39.0,20.0,59.0,40.1,2.41,0.45
19490127,39.0,17.0,59.1,40.3,2.41,0.47
19490128,42.0,20.0,59.3,40.4,2.41,0.48
19490129,41.0,21.0,59.4,40.5,2.41,0.5
19490130,39.0,18.0,59.5,40.6,2.41,0.52
19490131,41.0,19.0,59.6,40.7,2.41,0.54
19490201,39.0,20.0,59.8,40.8,2.41,0.56
19490202,42.0,26.0,59.9,41.0,2.41,0.58
19490203,47.0,25.0,60.1,41.1,2.41,0.6
19490204,43.0,23.0,60.2,41.3,2.41,0.62
19490205,46.0,28.0,60.4,41.4,2.41,0.65
19490206,43.0,22.0,60.5,41.6,2.41,0.67
19490207,54.0,36.0,60.7,41.8,2.41,0.69
19490208,45.0,25.0,60.9,42.0,2.41,0.71
19490209,50.0,22.0,61.1,42.1,2.41,0.74
19490210,49.0,23.0,61.3,42.3,2.41,0.76
19490211,63.0,30.0,61.5,42.5,2.41,0.79
19490212,46.0,26.0,61.7,42.7,2.41,0.82
19490213,42.0,20.0,61.9,42.9,2.41,0.84
19490214,46.0,18.0,62.2,43.2,2.41,0.87
19490215,50.0,22.0,62.4,43.4,2.41,0.9
19490216,57.0,24.0,62.6,43.6,2.41,0.94
19490217,63.0,27.0,62.9,43.8,2.41,0.97
19490218,64.0,30.0,63.2,44.1,2.41,1.0
19490219,64.0,30.0,63.4,44.3,2.41,1.03
19490220,68.0,34.0,63.7,44.5,2.41,1.07
19490221,66.0,36.0,64.0,44.8,2.41,1.1
19490222,69.0,34.0,64.2,45.0,2.41,1.13
19490223,72.0,34.0,64.5,45.2,2.41,1.16
19490224,71.0,42.0,64.8,45.5,2.41,1.19
19490225,64.0,38.0,65.1,45.7,2.41,1.22
19490226,63.0,35.0,65.4,45.9,2.41,1.25
19490227,52.0,40.0,65.7,46.2,3.02,1.27
19490228,54.0,35.0,66.0,46.4,3.03,1.3
19490301,58.0,34.0,66.3,46.6,3.03,1.32
19490302,61.0,37.0,66.6,46.8,3.03,1.34
19490303,68.0,37.0,66.9,47.0,3.03,1.37
19490304,69.0,42.0,67.2,47.3,3.03,1.39
19490305,64.0,42.0,67.5,47.5,3.03,1.41
19490306,64.0,35.0,67.7,47.7,3.03,1.43
19490307,63.0,42.0,68.0,47.9,3.03,1.45
19490308,63.0,40.0,68.3,48.1,3.03,1.47
19490309,66.0,36.0,68.6,48.3,3.03,1.48
19490310,70.0,42.0,68.9,48.4,3.03,1.5
19490311,65.0,47.0,69.1,48.6,3.03,1.52
19490312,67.0,35.0,69.4,48.8,3.03,1.53
19490313,69.0,37.0,69.7,49.0,3.03,1.55
19490314,71.0,38.0,69.9,49.1,3.03,1.56
19490315,74.0,46.0,70.2,49.3,3.03,1.58
19490316,73.0,52.0,70.4,49.5,3.03,1.59
19490317,75.0,41.0,70.7,49.6,3.03,1.6
19490318,76.0,43.0,70.9,49.8,3.03,1.61
19490319,80.0,43.0,71.2,50.0,3.03,1.62
19490320,68.0,49.0,71.4,50.1,3.03,1.64
19490321,71.0,41.0,71.6,50.3,3.03,1.65
19490322,68.0,48.0,71.9,50.4,3.03,1.66
19490323,56.0,40.0,72.1,50.6,3.03,1.67
19490324,60.0,36.0,72.3,50.7,3.03,1.68
19490325,64.0,37.0,72.6,50.9,3.03,1.69
19490326,69.0,45.0,72.8,51.1,3.03,1.69
19490327,79.0,44.0,73.0,51.2,3.03,1.7
19490328,59.0,43.0,73.2,51.4,3.03,1.71
19490329,60.0,39.0,73.5,51.6,3.03,1.72
19490330,67.0,34.0,73.7,51.8,3.03,1.73
19490331,48.0,35.0,73.9,52.0,3.34,1.74
19490401,60.0,38.0,74.2,52.2,3.34,1.75
19490402,64.0,39.0,74.4,52.4,3.34,1.76
19490403,70.0,41.0,74.6,52.6,3.34,1.76
19490404,75.0,43.0,74.9,52.8,3.34,1.77
19490405,82.0,43.0,75.1,53.0,3.34,1.78
19490406,80.0,55.0,75.4,53.3,3.34,1.79
19490407,74.0,51.0,75.6,53.5,3.41,1.79
19490408,75.0,45.0,75.9,53.7,3.41,1.8
19490409,78.0,51.0,76.2,54.0,3.41,1.81
19490410,81.0,45.0,76.5,54.3,3.41,1.81
19490411,84.0,46.0,76.7,54.5,3.41,1.82
19490412,87.0,47.0,77.0,54.8,3.41,1.82
19490413,82.0,57.0,77.3,55.1,3.41,1.83
19490414,83.0,46.0,77.6,55.4,3.41,1.83
19490415,81.0,52.0,77.9,55.7,3.41,1.84
19490416,87.0,55.0,78.2,56.0,3.41,1.84
19490417,77.0,52.0,78.6,56.3,3.41,1.85
19490418,82.0,49.0,78.9,56.7,3.41,1.85
19490419,81.0,51.0,79.2,57.0,3.42,1.85
19490420,85.0,48.0,79.6,57.3,3.42,1.86
19490421,88.0,61.0,79.9,57.7,3.42,1.86
19490422,96.0,57.0,80.3,58.0,3.42,1.86
19490423,98.0,56.0,80.6,58.4,3.42,1.87
19490424,97.0,71.0,81.0,58.7,3.42,1.87
19490425,88.0,63.0,81.3,59.1,3.42,1.87
19490426,91.0,55.0,81.7,59.4,3.42,1.88
19490427,92.0,60.0,82.1,59.8,3.42,1.88
19490428,92.0,56.0,82.4,60.1,3.42,1.88
19490429,84.0,61.0,82.8,60.5,3.42,1.89
19490430,82.0,56.0,83.2,60.8,3.42,1.89
19490501,90.0,50.0,83.5,61.2,3.42,1.89
19490502,90.0,61.0,83.9,61.5,3.42,1.9
19490503,83.0,62.0,84.3,61.8,3.42,1.9
19490504,82.0,52.0,84.7,62.2,3.42,1.91
19490505,77.0,52.0,85.0,62.5,3.42,1.91
19490506,80.0,57.0,85.4,62.8,3.42,1.91
19490507,85.0,50.0,85.8,63.2,3.42,1.92
19490508,91.0,59.0,86.1,63.5,3.42,1.92
19490509,78.0,55.0,86.5,63.8,3.42,1.93
19490510,80.0,50.0,86.9,64.1,3.42,1.93
19490511,81.0,58.0,87.2,64.4,3.42,1.93
19490512,89.0,55.0,87.6,64.7,3.42,1.94
19490513,93.0,60.0,88.0,65.1,3.42,1.94
19490514,79.0,59.0,88.3,65.3,3.42,1.94
19490515,75.0,55.0,88.7,65.6,3.51,1.95
19490516,75.0,56.0,89.0,65.9,3.65,1.95
19490517,74.0,58.0,89.3,66.2,3.66,1.95
19490518,72.0,55.0,89.7,66.5,3.66,1.96
19490519,74.0,51.0,90.0,66.8,3.71,1.96
19490520,78.0,46.0,90.4,67.1,3.71,1.97
19490521,84.0,52.0,90.7,67.3,3.71,1.97
19490522,89.0,56.0,91.0,67.6,3.71,1.97
19490523,97.0,59.0,91.4,67.9,3.71,1.98
19490524,100.0,61.0,91.7,68.1,3.71,1.98
19490525,101.0,60.0,92.0,68.4,3.71,1.99
19490526,99.0,69.0,92.3,68.7,3.71,1.99
19490527,100.0,64.0,92.7,68.9,3.71,1.99
19490528,87.0,67.0,93.0,69.2,3.71,2.0
19490529,82.0,60.0,93.3,69.5,3.71,2.0
19490530,81.0,60.0,93.6,69.8,3.71,2.01
19490531,84.0,56.0,93.9,70.0,3.71,2.01
19490601,86.0,56.0,94.3,70.3,3.71,2.01
19490602,88.0,54.0,94.6,70.6,3.71,2.02
19490603,69.0,58.0,94.9,70.9,3.72,2.02
19490604,83.0,60.0,95.2,71.2,3.72,2.02
19490605,80.0,60.0,95.5,71.4,3.77,2.02
19490606,86.0,58.0,95.8,71.7,3.77,2.03
19490607,94.0,61.0,96.2,72.0,3.77,2.03
19490608,100.0,71.0,96.5,72.3,3.77,2.03
19490609,101.0,67.0,96.8,72.6,3.77,2.03
19490610,104.0,71.0,97.1,72.9,3.77,2.04
19490611,106.0,74.0,97.4,73.2,3.77,2.04
19490612,103.0,77.0,97.7,73.5,3.78,2.04
19490613,107.0,72.0,98.0,73.8,3.78,2.04
19490614,104.0,74.0,98.4,74.1,3.78,2.05
19490615,109.0,74.0,98.7,74.5,3.78,2.05
19490616,107.0,83.0,99.0,74.8,3.78,2.05
19490617,103.0,76.0,99.3,75.1,3.78,2.05
19490618,95.0,74.0,99.6,75.4,3.78,2.05
19490619,94.0,68.0,99.9,75.7,3.78,2.05
19490620,97.0,68.0,100.2,76.0,3.78,2.06
19490621,102.0,67.0,100.4,76.3,3.78,2.06
19490622,104.0,75.0,100.7,76.6,3.78,2.06
19490623,102.0,81.0,101.0,76.9,3.78,2.06
19490624,101.0,71.0,101.3,77.2,3.78,2.06
19490625,106.0,68.0,101.5,77.5,3.78,2.07
19490626,101.0,77.0,101.8,77.8,3.78,2.07
19490627,98.0,72.0,102.0,78.0,3.78,2.07
19490628,98.0,69.0,102.3,78.3,3.78,2.07
19490629,98.0,69.0,102.5,78.6,3.78,2.08
19490630,101.0,66.0,102.7,78.8,3.78,2.08
19490701,103.0,71.0,102.9,79.1,3.78,2.09
19490702,100.0,74.0,103.1,79.3,3.78,2.09
19490703,98.0,79.0,103.3,79.5,3.78,2.1
19490704,89.0,66.0,103.5,79.7,3.94,2.1
19490705,103.0,68.0,103.6,79.9,3.94,2.11
19490706,102.0,73.0,103.8,80.1,3.94,2.12
19490707,102.0,67.0,103.9,80.3,3.94,2.13
19490708,103.0,67.0,104.0,80.5,3.94,2.14
19490709,107.0,74.0,104.2,80.6,3.94,2.15
19490710,106.0,76.0,104.3,80.8,3.94,2.16
19490711,105.0,81.0,104.3,80.9,3.94,2.17
19490712,103.0,74.0,104.4,81.0,3.94,2.18
19490713,106.0,75.0,104.5,81.1,3.94,2.19
19490714,110.0,77.0,104.5,81.2,3.94,2.21
19490715,114.0,77.0,104.6,81.3,3.94,2.22
19490716,113.0,83.0,104.6,81.3,3.94,2.24
19490717,112.0,82.0,104.6,81.4,3.94,2.25
19490718,108.0,87.0,104.7,81.4,3.94,2.27
19490719,106.0,83.0,104.7,81.5,3.94,2.29
19490720,104.0,81.0,104.6,81.5,3.94,2.3
19490721,102.0,78.0,104.6,81.5,3.94,2.32
19490722,103.0,74.0,104.6,81.5,3.94,2.33
19490723,102.0,75.0,104.6,81.5,3.94,2.35
19490724,98.0,74.0,104.5,81.5,3.94,2.36
19490725,101.0,72.0,104.5,81.5,3.94,2.38
19490726,103.0,68.0,104.4,81.4,3.94,2.39
19490727,103.0,69.0,104.3,81.4,3.94,2.41
19490728,104.0,73.0,104.3,81.4,3.94,2.43
19490729,105.0,70.0,104.2,81.3,3.94,2.45
19490730,105.0,72.0,104.1,81.3,3.94,2.46
19490731,104.0,77.0,104.0,81.2,4.01,2.48
19490801,106.0,72.0,103.9,81.1,4.01,2.49
19490802,110.0,77.0,103.8,81.0,4.01,2.51
19490803,108.0,78.0,103.7,81.0,4.01,2.52
19490804,109.0,78.0,103.6,80.9,4.01,2.53
19490805,109.0,75.0,103.5,80.8,4.01,2.55
19490806,107.0,81.0,103.4,80.7,4.01,2.56
19490807,99.0,79.0,103.3,80.6,4.01,2.57
19490808,99.0,71.0,103.2,80.5,4.01,2.58
19490809,96.0,70.0,103.1,80.4,4.01,2.59
19490810,95.0,62.0,103.0,80.3,4.01,2.6
19490811,95.0,62.0,102.8,80.2,4.01,2.61
19490812,96.0,60.0,102.7,80.0,4.01,2.62
19490813,99.0,60.0,102.6,79.9,4.01,2.63
19490814,97.0,64.0,102.4,79.8,4.01,2.64
19490815,97.0,61.0,102.3,79.7,4.01,2.65
19490816,97.0,61.0,102.2,79.5,4.01,2.66
19490817,98.0,59.0,102.0,79.4,4.01,2.67
19490818,102.0,62.0,101.9,79.2,4.01,2.68
19490819,104.0,65.0,101.7,79.1,4.01,2.69
19490820,106.0,63.0,101.6,78.9,4.01,2.7
19490821,107.0,66.0,101.4,78.8,4.01,2.71
19490822,97.0,69.0,101.3,78.6,4.24,2.73
19490823,89.0,68.0,101.1,78.4,4.26,2.74
19490824,100.0,67.0,100.9,78.2,4.26,2.75
19490825,101.0,73.0,100.7,78.0,4.26,2.75
19490826,101.0,70.0,100.5,77.8,4.26,2.76
19490827,102.0,66.0,100.3,77.6,4.26,2.77
19490828,106.0,72.0,100.1,77.4,4.26,2.78
19490829,107.0,71.0,99.9,77.1,4.26,2.79
19490830,108.0,71.0,99.6,76.9,4.26,2.8
19490831,106.0,66.0,99.4,76.6,4.26,2.81
19490901,107.0,66.0,99.1,76.3,4.26,2.82
19490902,106.0,79.0,98.9,76.1,4.26,2.83
19490903,105.0,68.0,98.6,75.8,4.26,2.84
19490904,104.0,77.0,98.3,75.5,4.26,2.85
19490905,101.0,74.0,98.0,75.2,4.26,2.86
19490906,102.0,75.0,97.7,74.9,4.26,2.87
19490907,103.0,68.0,97.4,74.5,4.26,2.88
19490908,98.0,71.0,97.1,74.2,4.26,2.89
19490909,98.0,72.0,96.7,73.8,4.26,2.9
19490910,94.0,74.0,96.4,73.5,4.26,2.91
19490911,93.0,70.0,96.0,73.1,4.26,2.92
19490912,96.0,60.0,95.7,72.7,4.26,2.93
19490913,93.0,65.0,95.3,72.3,4.26,2.94
19490914,94.0,56.0,94.9,71.9,4.26,2.95
19490915,97.0,58.0,94.5,71.5,4.26,2.96
19490916,100.0,64.0,94.1,71.1,4.26,2.97
19490917,97.0,63.0,93.7,70.7,4.26,2.97
19490918,98.0,63.0,93.3,70.3,4.26,2.98
19490919,101.0,61.0,92.8,69.9,4.26,2.99
19490920,102.0,67.0,92.4,69.4,4.26,3.0
19490921,103.0,68.0,92.0,69.0,4.26,3.0
19490922,104.0,67.0,91.5,68.6,4.26,3.01
19490923,102.0,62.0,91.1,68.1,4.26,3.02
19490924,101.0,69.0,90.6,67.7,4.26,3.03
19490925,99.0,68.0,90.1,67.2,4.26,3.03
19490926,88.0,64.0,89.7,66.8,4.26,3.04
19490927,95.0,60.0,89.2,66.3,4.26,3.04
19490928,91.0,59.0,88.8,65.9,4.26,3.05
19490929,90.0,54.0,88.3,65.5,4.26,3.05
19490930,89.0,58.0,87.8,65.0,4.26,3.06
19491001,92.0,56.0,87.4,64.6,4.26,3.07
